id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
634,634,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,26.2755,22.4255,TON,1,FEBRUARI,2023,SURPLUS
635,635,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,43.62275,-14.46725,TON,1,FEBRUARI,2023,DEFISIT
636,636,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,106.80425,58.29425,TON,1,FEBRUARI,2023,SURPLUS
637,637,32.18,3218,PANGANDARAN,GULA PASIR,22.01,24.725,2.715,TON,1,FEBRUARI,2023,SURPLUS
638,638,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,93.61,3.18,TON,1,FEBRUARI,2023,SURPLUS
639,639,32.18,3218,PANGANDARAN,BERAS,804.32,1790.8875,986.5675,TON,2,FEBRUARI,2023,SURPLUS
640,640,32.18,3218,PANGANDARAN,JAGUNG,0.36,1.89,1.53,TON,2,FEBRUARI,2023,SURPLUS
641,641,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,7.53,-15.87,TON,2,FEBRUARI,2023,DEFISIT
642,642,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.96,1.23,TON,2,FEBRUARI,2023,SURPLUS
643,643,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,10.47,8.2,TON,2,FEBRUARI,2023,SURPLUS
644,644,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,6.18,-9.37,TON,2,FEBRUARI,2023,DEFISIT
645,645,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,26.2755,22.4255,TON,2,FEBRUARI,2023,SURPLUS
646,646,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,59.92275,1.83275,TON,2,FEBRUARI,2023,SURPLUS
647,647,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,105.40425,56.89425,TON,2,FEBRUARI,2023,SURPLUS
648,648,32.18,3218,PANGANDARAN,GULA PASIR,22.01,24.725,2.715,TON,2,FEBRUARI,2023,SURPLUS
649,649,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,86.05,-4.38,TON,2,FEBRUARI,2023,DEFISIT
650,650,32.18,3218,PANGANDARAN,BERAS,804.32,1793.3375,989.0175,TON,3,FEBRUARI,2023,SURPLUS
651,651,32.18,3218,PANGANDARAN,JAGUNG,0.36,1.96,1.6,TON,3,FEBRUARI,2023,SURPLUS
652,652,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,23.83,0.43,TON,3,FEBRUARI,2023,SURPLUS
653,653,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,10.225,0.495,TON,3,FEBRUARI,2023,SURPLUS
654,654,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,10.505,8.235,TON,3,FEBRUARI,2023,SURPLUS
655,655,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,6.18,-9.37,TON,3,FEBRUARI,2023,DEFISIT
656,656,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,19.245,15.395,TON,3,FEBRUARI,2023,SURPLUS
657,657,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,43.41,-14.68,TON,3,FEBRUARI,2023,DEFISIT
658,658,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,91.13,42.62,TON,3,FEBRUARI,2023,SURPLUS
659,659,32.18,3218,PANGANDARAN,GULA PASIR,22.01,24.76,2.75,TON,3,FEBRUARI,2023,SURPLUS
660,660,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,96.87,6.44,TON,3,FEBRUARI,2023,SURPLUS
661,661,32.18,3218,PANGANDARAN,BERAS,804.32,3025.132736,2220.812736,TON,4,FEBRUARI,2023,SURPLUS
662,662,32.18,3218,PANGANDARAN,JAGUNG,0.36,2.975,2.615,TON,4,FEBRUARI,2023,SURPLUS
663,663,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,24.83,1.43,TON,4,FEBRUARI,2023,SURPLUS
664,664,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,11.925,2.195,TON,4,FEBRUARI,2023,SURPLUS
665,665,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,26.47,24.2,TON,4,FEBRUARI,2023,SURPLUS
666,666,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,10.58,-4.97,TON,4,FEBRUARI,2023,DEFISIT
667,667,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,21.8,17.95,TON,4,FEBRUARI,2023,SURPLUS
668,668,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,60.6,2.51,TON,4,FEBRUARI,2023,SURPLUS
669,669,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,87.455,38.945,TON,4,FEBRUARI,2023,SURPLUS
670,670,32.18,3218,PANGANDARAN,GULA PASIR,22.01,26.125,4.115,TON,4,FEBRUARI,2023,SURPLUS
671,671,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,93.38,2.95,TON,4,FEBRUARI,2023,SURPLUS
672,672,32.18,3218,PANGANDARAN,BERAS,804.32,3022.682736,2218.362736,TON,1,MARET,2023,SURPLUS
673,673,32.18,3218,PANGANDARAN,JAGUNG,0.36,1.68,1.32,TON,1,MARET,2023,SURPLUS
674,674,32.18,3218,PANGANDARAN,BAWANG MERAH,23.4,24.83,1.43,TON,1,MARET,2023,SURPLUS
675,675,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,11.925,2.195,TON,1,MARET,2023,SURPLUS
676,676,32.18,3218,PANGANDARAN,CABAI BESAR,2.27,26.47,24.2,TON,1,MARET,2023,SURPLUS
677,677,32.18,3218,PANGANDARAN,CABAI RAWIT,15.55,11.68,-3.87,TON,1,MARET,2023,DEFISIT
678,678,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.85,19.98,16.13,TON,1,MARET,2023,SURPLUS
679,679,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.09,60.25,2.16,TON,1,MARET,2023,SURPLUS
680,680,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.51,89.03,40.52,TON,1,MARET,2023,SURPLUS
681,681,32.18,3218,PANGANDARAN,GULA PASIR,22.01,24.34,2.33,TON,1,MARET,2023,SURPLUS
682,682,32.18,3218,PANGANDARAN,MINYAK GORENG,90.43,92.61,2.18,TON,1,MARET,2023,SURPLUS
683,683,32.18,3218,PANGANDARAN,BERAS,810.1769713,3024.782736,2214.605765,TON,2,MARET,2023,SURPLUS
684,684,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,2.345,1.437860766,TON,2,MARET,2023,SURPLUS
685,685,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.53,4.057918642,TON,2,MARET,2023,SURPLUS
686,686,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,11.925,1.408671286,TON,2,MARET,2023,SURPLUS
687,687,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,26.47,23.23754831,TON,2,MARET,2023,SURPLUS
688,688,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,11.68,-3.50583998,TON,2,MARET,2023,DEFISIT
689,689,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,21.59,18.60926597,TON,2,MARET,2023,SURPLUS
690,690,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,80.21,2.1649865,TON,2,MARET,2023,SURPLUS
691,691,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,89.03,42.99611581,TON,2,MARET,2023,SURPLUS
692,692,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,26.125,6.615710356,TON,2,MARET,2023,SURPLUS
693,693,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,80.08,3.691182261,TON,2,MARET,2023,SURPLUS
694,694,32.18,3218,PANGANDARAN,BERAS,810.1769713,3017.282736,2207.105765,TON,3,MARET,2023,SURPLUS
695,695,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.39,0.482860766,TON,3,MARET,2023,SURPLUS
696,696,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,23.79,2.317918642,TON,3,MARET,2023,SURPLUS
697,697,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,10.38,-0.13632871,TON,3,MARET,2023,DEFISIT
698,698,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,25.21,21.97754831,TON,3,MARET,2023,SURPLUS
699,699,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,10.24,-4.94583998,TON,3,MARET,2023,DEFISIT
700,700,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.66,12.67926597,TON,3,MARET,2023,SURPLUS
701,701,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,76.36,-1.6850135,TON,3,MARET,2023,DEFISIT
702,702,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,80.33,34.29611581,TON,3,MARET,2023,SURPLUS
703,703,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.12,2.610710356,TON,3,MARET,2023,SURPLUS
704,704,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,71.784,-4.60481774,TON,3,MARET,2023,DEFISIT
705,705,32.18,3218,PANGANDARAN,BERAS,810.1769713,3017.582736,2207.405765,TON,4,MARET,2023,SURPLUS
706,706,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.385,0.477860766,TON,4,MARET,2023,SURPLUS
707,707,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,23.795,2.322918642,TON,4,MARET,2023,SURPLUS
708,708,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.295,4.778671286,TON,4,MARET,2023,SURPLUS
709,709,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,25.2,21.96754831,TON,4,MARET,2023,SURPLUS
710,710,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,10.31,-4.87583998,TON,4,MARET,2023,DEFISIT
711,711,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,15.86,12.87926597,TON,4,MARET,2023,SURPLUS
712,712,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,53.38,-24.6650135,TON,4,MARET,2023,DEFISIT
713,713,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,83.06,37.02611581,TON,4,MARET,2023,SURPLUS
714,714,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.145,2.635710356,TON,4,MARET,2023,SURPLUS
715,715,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,80.168,3.779182261,TON,4,MARET,2023,SURPLUS
716,716,32.18,3218,PANGANDARAN,BERAS,810.1769713,9688.95,8878.773029,TON,1,APRIL,2023,SURPLUS
717,717,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.38,0.472860766,TON,1,APRIL,2023,SURPLUS
718,718,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,23.795,2.322918642,TON,1,APRIL,2023,SURPLUS
719,719,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.29,4.773671286,TON,1,APRIL,2023,SURPLUS
720,720,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,25.175,21.94254831,TON,1,APRIL,2023,SURPLUS
721,721,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,17.21,2.024160022,TON,1,APRIL,2023,SURPLUS
722,722,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,7.23,4.249265974,TON,1,APRIL,2023,SURPLUS
723,723,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,81.19,3.1449865,TON,1,APRIL,2023,SURPLUS
724,724,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,56.68,10.64611581,TON,1,APRIL,2023,SURPLUS
725,725,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.98,3.470710356,TON,1,APRIL,2023,SURPLUS
726,726,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,78.4672,2.078382261,TON,1,APRIL,2023,SURPLUS
727,727,32.18,3218,PANGANDARAN,BERAS,810.1769713,9688.95,8878.773029,TON,2,APRIL,2023,SURPLUS
728,728,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.33,0.422860766,TON,2,APRIL,2023,SURPLUS
729,729,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,23.795,2.322918642,TON,2,APRIL,2023,SURPLUS
730,730,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.29,4.773671286,TON,2,APRIL,2023,SURPLUS
731,731,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,25.2,21.96754831,TON,2,APRIL,2023,SURPLUS
732,732,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,17.21,2.024160022,TON,2,APRIL,2023,SURPLUS
733,733,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,7.23,4.249265974,TON,2,APRIL,2023,SURPLUS
734,734,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,81.19,3.1449865,TON,2,APRIL,2023,SURPLUS
735,735,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,56.48,10.44611581,TON,2,APRIL,2023,SURPLUS
736,736,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.08,3.570710356,TON,2,APRIL,2023,SURPLUS
737,737,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,78.928,2.539182261,TON,2,APRIL,2023,SURPLUS
738,738,32.18,3218,PANGANDARAN,BERAS,810.1769713,9688.95,8878.773029,TON,3,APRIL,2023,SURPLUS
739,739,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.38,0.472860766,TON,3,APRIL,2023,SURPLUS
740,740,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,23.69,2.217918642,TON,3,APRIL,2023,SURPLUS
741,741,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.19,4.673671286,TON,3,APRIL,2023,SURPLUS
742,742,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,25.2,21.96754831,TON,3,APRIL,2023,SURPLUS
743,743,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,17.21,2.024160022,TON,3,APRIL,2023,SURPLUS
744,744,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,7.13,4.149265974,TON,3,APRIL,2023,SURPLUS
745,745,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,81.19,3.1449865,TON,3,APRIL,2023,SURPLUS
746,746,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.83,9.796115813,TON,3,APRIL,2023,SURPLUS
747,747,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.13,3.620710356,TON,3,APRIL,2023,SURPLUS
748,748,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,80.608,4.219182261,TON,3,APRIL,2023,SURPLUS
749,749,32.18,3218,PANGANDARAN,BERAS,810.1769713,9688.95,8878.773029,TON,4,APRIL,2023,SURPLUS
750,750,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.28,0.372860766,TON,4,APRIL,2023,SURPLUS
751,751,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,23.79,2.317918642,TON,4,APRIL,2023,SURPLUS
752,752,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.29,4.773671286,TON,4,APRIL,2023,SURPLUS
753,753,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,25.2,21.96754831,TON,4,APRIL,2023,SURPLUS
754,754,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,17.21,2.024160022,TON,4,APRIL,2023,SURPLUS
755,755,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,7.23,4.249265974,TON,4,APRIL,2023,SURPLUS
756,756,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,81.29,3.2449865,TON,4,APRIL,2023,SURPLUS
757,757,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.48,9.446115813,TON,4,APRIL,2023,SURPLUS
758,758,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.63,4.120710356,TON,4,APRIL,2023,SURPLUS
759,759,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,77.6,1.211182261,TON,4,APRIL,2023,SURPLUS
760,760,32.18,3218,PANGANDARAN,BERAS,810.1769713,7453.75,6643.573029,TON,1,MEI,2023,SURPLUS
761,761,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.5,0.592860766,TON,1,MEI,2023,SURPLUS
762,762,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,13.3,-8.17208136,TON,1,MEI,2023,DEFISIT
763,763,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.4,4.883671286,TON,1,MEI,2023,SURPLUS
764,764,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,15.2,11.96754831,TON,1,MEI,2023,SURPLUS
765,765,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.21,4.024160022,TON,1,MEI,2023,SURPLUS
766,766,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.41,8.429265974,TON,1,MEI,2023,SURPLUS
767,767,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,86.56,8.5149865,TON,1,MEI,2023,SURPLUS
768,768,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.93,9.896115813,TON,1,MEI,2023,SURPLUS
769,769,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23,3.490710356,TON,1,MEI,2023,SURPLUS
770,770,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,78.888,2.499182261,TON,1,MEI,2023,SURPLUS
771,771,32.18,3218,PANGANDARAN,BERAS,810.1769713,7453.5,6643.323029,TON,2,MEI,2023,SURPLUS
772,772,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.47,0.562860766,TON,2,MEI,2023,SURPLUS
773,773,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,13.275,-8.19708136,TON,2,MEI,2023,DEFISIT
774,774,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.16,4.643671286,TON,2,MEI,2023,SURPLUS
775,775,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,15.205,11.97254831,TON,2,MEI,2023,SURPLUS
776,776,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.215,4.029160022,TON,2,MEI,2023,SURPLUS
777,777,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.31,8.329265974,TON,2,MEI,2023,SURPLUS
778,778,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,86.45,8.4049865,TON,2,MEI,2023,SURPLUS
779,779,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.88,9.846115813,TON,2,MEI,2023,SURPLUS
780,780,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.16,3.650710356,TON,2,MEI,2023,SURPLUS
781,781,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,78.144,1.755182261,TON,2,MEI,2023,SURPLUS
782,782,32.18,3218,PANGANDARAN,BERAS,810.1769713,7453.65,6643.473029,TON,3,MEI,2023,SURPLUS
783,783,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.57,0.662860766,TON,3,MEI,2023,SURPLUS
784,784,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,13.26,-8.21208136,TON,3,MEI,2023,DEFISIT
785,785,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.23,4.713671286,TON,3,MEI,2023,SURPLUS
786,786,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,15.145,11.91254831,TON,3,MEI,2023,SURPLUS
787,787,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.145,3.959160022,TON,3,MEI,2023,SURPLUS
788,788,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.41,8.429265974,TON,3,MEI,2023,SURPLUS
789,789,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,86.535,8.4899865,TON,3,MEI,2023,SURPLUS
790,790,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,56.13,10.09611581,TON,3,MEI,2023,SURPLUS
791,791,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.54,4.030710356,TON,3,MEI,2023,SURPLUS
792,792,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,79.056,2.667182261,TON,3,MEI,2023,SURPLUS
793,793,32.18,3218,PANGANDARAN,BERAS,810.1769713,7453.4,6643.223029,TON,4,MEI,2023,SURPLUS
794,794,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.34,0.432860766,TON,4,MEI,2023,SURPLUS
795,795,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,24.255,2.782918642,TON,4,MEI,2023,SURPLUS
796,796,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.125,4.608671286,TON,4,MEI,2023,SURPLUS
797,797,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,15.125,11.89254831,TON,4,MEI,2023,SURPLUS
798,798,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.135,3.949160022,TON,4,MEI,2023,SURPLUS
799,799,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.16,8.179265974,TON,4,MEI,2023,SURPLUS
800,800,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,86.53,8.4849865,TON,4,MEI,2023,SURPLUS
801,801,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.73,9.696115813,TON,4,MEI,2023,SURPLUS
802,802,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.515,4.005710356,TON,4,MEI,2023,SURPLUS
803,803,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,78.816,2.427182261,TON,4,MEI,2023,SURPLUS
804,804,32.18,3218,PANGANDARAN,BERAS,810.1769713,7453.5,6643.323029,TON,5,MEI,2023,SURPLUS
805,805,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.35,0.442860766,TON,5,MEI,2023,SURPLUS
806,806,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,24.26,2.787918642,TON,5,MEI,2023,SURPLUS
807,807,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,15.135,4.618671286,TON,5,MEI,2023,SURPLUS
808,808,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,15.125,11.89254831,TON,5,MEI,2023,SURPLUS
809,809,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.14,3.954160022,TON,5,MEI,2023,SURPLUS
810,810,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.11,8.129265974,TON,5,MEI,2023,SURPLUS
811,811,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,86.46,8.4149865,TON,5,MEI,2023,SURPLUS
812,812,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.98,9.946115813,TON,5,MEI,2023,SURPLUS
813,813,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,23.525,4.015710356,TON,5,MEI,2023,SURPLUS
814,814,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,78.84,2.451182261,TON,5,MEI,2023,SURPLUS
815,815,32.18,3218,PANGANDARAN,BERAS,810.1769713,1023.1875,213.0105287,TON,1,JUNI,2023,SURPLUS
816,816,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.63625,0.729110766,TON,1,JUNI,2023,SURPLUS
817,817,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.24,3.767918642,TON,1,JUNI,2023,SURPLUS
818,818,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.975,2.458671286,TON,1,JUNI,2023,SURPLUS
819,819,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,7.9825,4.750048309,TON,1,JUNI,2023,SURPLUS
820,820,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.2875,4.101660022,TON,1,JUNI,2023,SURPLUS
821,821,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,10.93725,7.956515974,TON,1,JUNI,2023,SURPLUS
822,822,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,89.0865,11.0414865,TON,1,JUNI,2023,SURPLUS
823,823,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.8825,9.848615813,TON,1,JUNI,2023,SURPLUS
824,824,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.4,2.890710356,TON,1,JUNI,2023,SURPLUS
825,825,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,79.586,3.197182261,TON,1,JUNI,2023,SURPLUS
826,826,32.18,3218,PANGANDARAN,BERAS,810.1769713,1023.2875,213.1105287,TON,2,JUNI,2023,SURPLUS
827,827,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,1.65625,0.749110766,TON,2,JUNI,2023,SURPLUS
828,828,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,25.235,3.762918642,TON,2,JUNI,2023,SURPLUS
829,829,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.97,2.453671286,TON,2,JUNI,2023,SURPLUS
830,830,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,8.0075,4.775048309,TON,2,JUNI,2023,SURPLUS
831,831,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,19.3025,4.116660022,TON,2,JUNI,2023,SURPLUS
832,832,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,11.08725,8.106515974,TON,2,JUNI,2023,SURPLUS
833,833,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,89.0865,11.0414865,TON,2,JUNI,2023,SURPLUS
834,834,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.9825,9.948615813,TON,2,JUNI,2023,SURPLUS
835,835,32.18,3218,PANGANDARAN,GULA PASIR,19.50928964,22.265,2.755710356,TON,2,JUNI,2023,SURPLUS
836,836,32.18,3218,PANGANDARAN,MINYAK GORENG,76.38881774,79.626,3.237182261,TON,2,JUNI,2023,SURPLUS
837,837,32.18,3218,PANGANDARAN,BERAS,810.1769713,1046.18,236.0030287,TON,3,JUNI,2023,SURPLUS
838,838,32.18,3218,PANGANDARAN,JAGUNG,0.907139234,8.82,7.912860766,TON,3,JUNI,2023,SURPLUS
839,839,32.18,3218,PANGANDARAN,BAWANG MERAH,21.47208136,26.43,4.957918642,TON,3,JUNI,2023,SURPLUS
840,840,32.18,3218,PANGANDARAN,BAWANG PUTIH,10.51632871,12.97,2.453671286,TON,3,JUNI,2023,SURPLUS
841,841,32.18,3218,PANGANDARAN,CABAI BESAR,3.232451691,9.08,5.847548309,TON,3,JUNI,2023,SURPLUS
842,842,32.18,3218,PANGANDARAN,CABAI RAWIT,15.18583998,22.065,6.879160022,TON,3,JUNI,2023,SURPLUS
843,843,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,2.980734026,10.98725,8.006515974,TON,3,JUNI,2023,SURPLUS
844,844,32.18,3218,PANGANDARAN,DAGING AYAM RAS,78.0450135,89.1865,11.1414865,TON,3,JUNI,2023,SURPLUS
845,845,32.18,3218,PANGANDARAN,TELUR AYAM RAS,46.03388419,55.9825,9.948615813,TON,3,JUNI,2023,SURPLUS
